date,full_text,lower,cleaned,normalized,stopword,steemed,tokens
2019-10-10,$MDKA Isu nya sih bisa ke 9000 https://t.co/sZjKGK1yLX,$mdka isu nya sih bisa ke 9000 https://t.co/szjkgk1ylx,mdka isu nya sih bisa ke 9000,mdka isu nya sih bisa ke 9000,mdka isu nya sih ke 9000,mdka isu nya sih ke 9000,"['mdka', 'isu', 'nya', 'sih', 'ke', '9000']"
2019-12-04,Ayo abisin $MDKA nya tembus 1200 sekali - kali,ayo abisin $mdka nya tembus 1200 sekali - kali,ayo abisin mdka nya tembus 1200 sekali kali,ayo abisin mdka nya tembus 1200 sekali kali,ayo abisin mdka nya tembus 1200 sekali kali,ayo abisin mdka nya tembus 1200 sekali kali,"['ayo', 'abisin', 'mdka', 'nya', 'tembus', '1200', 'sekali', 'kali']"
2020-01-20,hari ini dibuka dengan jualan: $ACES $MDKA beli $JPFA $MEDC happy cuan gaes :),hari ini dibuka dengan jualan: $aces $mdka beli $jpfa $medc happy cuan gaes :),hari ini dibuka dengan jualan aces mdka beli jpfa medc happy cuan gaes,hari ini dibuka dengan jualan aces mdka beli jpfa medc senang uang gaes,hari dibuka jualan aces mdka beli jpfa medc senang uang gaes,hari buka jual aces mdka beli jpfa medc senang uang gaes,"['hari', 'buka', 'jual', 'aces', 'mdka', 'beli', 'jpfa', 'medc', 'senang', 'uang', 'gaes']"
2020-01-26,$mdka secara bulanan rapih. Cuma emas ini tergantung harga komoditas. Ini kebetulan aja ada perang dagang jd lonjak drastis di bulan 7.19. scr daily cukup lebar klo mo serok sedang di 1100an. Masih diatas ma200 #gopalswing https://t.co/JJPUKNQ1Hr,$mdka secara bulanan rapih. cuma emas ini tergantung harga komoditas. ini kebetulan aja ada perang dagang jd lonjak drastis di bulan 7.19. scr daily cukup lebar klo mo serok sedangdi 1100an. masih diatas ma200 #gopalswing https://t.co/jjpuknq1hr,mdka secara bulanan rapih cuma emas ini tergantung harga komoditas ini kebetulan aja ada perang dagang jd lonjak drastis di bulan 719 scr daily cukup lebar klo mo serok sedangdi 1100an masih diatas ma200 gopalswing,mdka secara bulanan rapih hanya emas ini tergantung harga komoditas ini kebetulan aja ada perang dagang jadi naik drastis di bulan 719 scr daily cukup lebar kalau mo ambil sedang di 1100an masih diatas ma200 gopalswing,mdka bulanan rapih emas tergantung harga komoditas kebetulan aja perang dagang jadi naik drastis bulan 719 scr daily cukup lebar kalau mo ambil sedang 1100an diatas ma200 gopalswing,mdka bulan rapih emas gantung harga komoditas betul aja perang dagang jadi naik drastis bulan 719 scr daily cukup lebar kalau mo ambil sedang 1100an atas ma200 gopalswing,"['mdka', 'bulan', 'rapih', 'emas', 'gantung', 'harga', 'komoditas', 'betul', 'aja', 'perang', 'dagang', 'jadi', 'naik', 'drastis', 'bulan', '719', 'scr', 'daily', 'cukup', 'lebar', 'kalau', 'mo', 'ambil', 'lagi', '1100an', 'atas', 'ma200', 'gopalswing']"
2020-01-26,$mdka Sehubungan dgn terjadinya bencana di cina mungkin emas bs berjaya lagi https://t.co/w8QrVvgLsS,$mdka sehubungan dgn terjadinya bencana di cina mungkin emas bs berjaya lagi https://t.co/w8qrvvglss,mdka sehubungan dgn terjadinya bencana di cina mungkin emas bs berjaya lagi,mdka sehubungan dengan terjadinya bencana di cina mungkin emas bisa berjaya lagi,mdka sehubungan terjadinya bencana cina mungkin emas bisa berjaya,mdka hubung jadi bencana cina mungkin emas bisa jaya,"['mdka', 'hubung', 'jadi', 'bencana', 'cina', 'mungkin', 'emas', 'bisa', 'jaya']"
2020-02-27,Setelah kemarin terkoreksi cukup dalam emiten emas pagi ini langsung melesat! $MDKA #LongtermInvestment https://t.co/6VB4PAtN8A,setelah kemarin terkoreksi cukup dalam emiten emas pagi ini langsung melesat! $mdka #longterminvestment https://t.co/6vb4patn8a,setelah kemarin terkoreksi cukup dalam emiten emas pagi ini langsung melesat mdka longterminvestment,setelah kemarin terkoreksi cukup dalam emiten emas pagi ini langsung naik cepat mdka longterminvestment,kemarin terkoreksi cukup emiten emas pagi langsung naik cepat mdka longterminvestment,kemarin koreksi cukup emiten emas pagi langsung naik cepat mdka longterminvestment,"['kemarin', 'koreksi', 'cukup', 'emiten', 'emas', 'pagi', 'langsung', 'naik', 'cepat', 'mdka', 'longterminvestment']"
2020-02-27,Masuk $MDKA sebaiknya tunggu koreksi.,masuk $mdka sebaiknya tunggu koreksi.,masuk mdka sebaiknya tunggu koreksi,masuk mdka sebaiknya tunggu koreksi,masuk mdka sebaiknya tunggu koreksi,masuk mdka baik tunggu koreksi,"['masuk', 'mdka', 'baik', 'tunggu', 'koreksi']"
2020-02-28,$MDKA sudah bisa entry di level 1230-1255,$mdka sudah bisa entry di level 1230-1255,mdka sudah bisa entry di level 12301255,mdka sudah bisa entry di level 12301255,mdka bisa entry level 12301255,mdka bisa entry level 12301255,"['mdka', 'bisa', 'entry', 'level', '12301255']"
2020-03-04,$MDKA langsung terbang di sesi pagi. $GLD,$mdka langsung terbang di sesi pagi. $gld,mdka langsung terbang di sesi pagi gld,mdka langsung naik di sesi pagi gld,mdka langsung naik sesi pagi gld,mdka langsung naik sesi pagi gld,"['mdka', 'langsung', 'naik', 'sesi', 'pagi', 'gld']"
2020-03-06,Antri beli investor asing-domestik dengan volume yang cukup besar pagi ini. Disaat emiten-emiten lain merosot hampir 3%. $MDKA $GOLD $GLD https://t.co/lqN8L7nIkW,antri beli investor asing-domestik dengan volume yang cukup besar pagi ini. disaat emiten-emiten lain merosot hampir 3%. $mdka $gold $gld https://t.co/lqn8l7nikw,antri beli investor asingdomestik dengan volume yang cukup besar pagi ini disaat emitenemiten lain merosot hampir 3 mdka gold gld,antri beli investor asingdomestik dengan volume yang cukup besar pagi ini disaat emitenemiten lain merosot hampir 3 mdka gold gld,antri beli investor asingdomestik volume cukup besar pagi disaat emitenemiten merosot hampir 3 mdka gold gld,antri beli investor asingdomestik volume cukup besar pagi saat emitenemiten merosot hampir 3 mdka gold gld,"['antri', 'beli', 'investor', 'asingdomestik', 'volume', 'cukup', 'besar', 'pagi', 'saat', 'emitenemiten', 'merosot', 'hampir', '3', 'mdka', 'gold', 'gld']"
