date,full_text,lower,cleaned,normalized,stopword,steemed,tokens,text_en,vader_compound,vader_label
2019-01-24,Apa gara-gara ini $TINS tiba-tiba gerak? ,apa gara-gara ini $tins tiba-tiba gerak? ,apa garagara ini tins tibatiba gerak,apa garagara ini tins tibatiba gerak,apa garagara tins tiba gerak,apa garagara tins tiba gerak,"['apa', 'garagara', 'tins', 'tiba', 'gerak']","['what', 'garagara', 'tins', 'arriving', 'motion']",0.0,0
2019-02-02,Astaghfirullahhhhhhh pengen nangis aja liat $TINS wkwkwk dulu sempet mau beli di 900an sekarang udah 1400an ajaaaaa astaga astaga astaga,astaghfirullahhhhhhh pengen nangis aja liat $tins wkwkwk dulu sempet mau beli di 900an sekarang udah 1400an ajaaaaa astaga astaga astaga,astaghfirullahhhhhhh pengen nangis aja liat tins wkwkwk dulu sempet mau beli di 900an sekarang udah 1400an ajaaaaa astaga astaga astaga,astaghfirullahhhhhhh ingin nangis aja liat tins wkwkwk dulu sempat mau beli di 900an sekarang udah 1400an ajaaaaa astaga astaga astaga,astaghfirullahhhhhhh nangis aja liat tins wkwkwk dulu sempat mau beli 900an sekarang udah 1400an ajaaaaa astaga astaga astaga,astaghfirullahhhhhhh nang aja liat tins wkwkwk dulu sempat mau beli 900an sekarang udah 1400an ajaaaaa astaga astaga astaga,"['astaghfirullahhhhhhh', 'nang', 'aja', 'liat', 'tins', 'wkwkwk', 'dulu', 'sempat', 'mau', 'beli', '900an', 'sekarang', 'udah', '1400an', 'ajaaaaa', 'astaga', 'astaga', 'astaga']","['astaghfirullahhhhhh', 'nang', 'just', 'see', 'tins',' wkwkwk ',' first ',' had ',' want ',' buy ',' 900s', 'now', 'already', '1400s',' just ','",0.3612,2
2019-07-31,@indradivani @Paiy6 Bekasnya $TINS tuh ya tidak sih? Nunggu dia sentuh 600an cakep kali.,@indradivani @paiy6 bekasnya $tins tuh ya tidak sih? nunggu dia sentuh 600an cakep kali.,indradivani paiy6 bekasnya tins tuh ya tidak sih nunggu dia sentuh 600an cakep kali,indradivani paiy6 bekasnya tins tuh ya tidak sih nunggu dia sentuh 600an cakep kali,indradivani paiy6 bekasnya tins tuh tidak sih nunggu sentuh 600an cakep kali,indradivani paiy6 bekas tins tuh tidak sih nunggu sentuh 600an cakep kali,"['indradivani', 'paiy6', 'bekas', 'tins', 'tuh', 'tidak', 'sih', 'nunggu', 'sentuh', '600an', 'cakep', 'kali']","['Indradivani', 'Paiy6', 'former', 'Tins', 'Tuh', 'No', 'Sih', 'Wait for', 'Touch', '600s', 'Saucy', 'Cute', 'Times']",0.4939,2
2019-08-07,emas dan timah ayoo pada naiikkk $ANTM $TINS,emas dan timah ayoo pada naiikkk $antm $tins,emas dan timah ayoo pada naiikkk antm tins,emas dan timah naik pada naik antm tins,emas timah naik naik antm tins,emas timah naik naik antm tins,"['emas', 'timah', 'naik', 'naik', 'antm', 'tins']","['gold', 'tin', 'lets', 'up', 'antm', 'tins']",0.5,2
2019-08-14,Bye $tins sampai ketemu lagi,bye $tins sampai ketemu lagi,bye tins sampai ketemu lagi,bye tins sampai ketemu lagi,bye tins ketemu,bye tins ketemu,"['bye', 'tins', 'ketemu']","['bye', 'tins', 'meet']",0.0,0
2019-08-23,Beli $TINS berdasarkan analisis teknikal (dan sebelumnya juga analisis fundamental) ternyata harganya makin turun. Padahal yakin naik.,beli $tins berdasarkan analisis teknikal (dan sebelumnya juga analisis fundamental) ternyata harganya makin turun. padahal yakin naik.,beli tins berdasarkan analisis teknikal dan sebelumnya juga analisis fundamental ternyata harganya makin turun padahal yakin naik,beli tins berdasarkan analisis teknikal dan sebelumnya juga analisis fundamental ternyata harganya makin turun padahal yakin naik,beli tins berdasarkan analisis teknikal sebelumnya analisis fundamental ternyata harganya makin turun padahal yakin naik,beli tins dasar analisis teknikal belum analisis fundamental nyata harga makin turun padahal yakin naik,"['beli', 'tins', 'dasar', 'analisis', 'teknikal', 'belum', 'analisis', 'fundamental', 'nyata', 'harga', 'makin', 'turun', 'padahal', 'yakin', 'naik']","['buy', 'tins', 'basic', 'analysis', 'technical', 'not', 'analysis', 'fundamental', 'real', 'price', 'increasingly', 'down', 'even though', 'sure', 'rising']",0.25,2
2019-08-28,$TINS 99% konsesi tambang timah milik bumn ini,$tins 99% konsesi tambang timah milik bumn ini,tins 99 konsesi tambang timah milik bumn ini,tins 99 konsesi tambang timah milik bumn ini,tins 99 konsesi tambang timah milik bumn,tins 99 konsesi tambang timah milik bumn,"['tins', '99', 'konsesi', 'tambang', 'timah', 'milik', 'bumn']","['tins', '99', 'concession', 'mine', 'tin', 'belonging to', 'BUMN']",0.0,0
2019-09-02,Jadi gaes yang pegang $TINS besok siap2 ya ,jadi gaes yang pegang $tins besok siap2 ya ,jadi gaes yang pegang tins besok siap2 ya,jadi gaes yang pegang tins besok siap2 ya,jadi gaes pegang tins besok siap2,jadi gaes pegang tins besok siap2,"['jadi', 'gaes', 'pegang', 'tins', 'besok', 'siap2']","['So', 'Gaes', 'Hold', 'Tins', 'Tomorrow', 'Ready']",0.4588,2
2019-09-05,Kamis 5 sept 2019 10:04:13 Beli $TINS di harga 1.090 14:50:02 Jual TINS di harga 1.235 Profit sehari bursa sebesar 13.3% Rekor baru untuk saya pribadi. Thank to me ,kamis 5 sept 2019 10:04:13 beli $tins di harga 1.090 14:50:02 jual tins di harga 1.235 profit sehari bursa sebesar 13.3% rekor baru untuk saya pribadi. thank to me ,kamis 5 sept 2019 100413 beli tins di harga 1090 145002 jual tins di harga 1235 profit sehari bursa sebesar 133 rekor baru untuk saya pribadi thank to me,kamis 5 sept 2019 100413 beli tins di harga 1090 145002 jual tins di harga 1235 profit sehari bursa sebesar 133 rekor baru untuk saya pribadi thank to me,kamis 5 sept 2019 100413 beli tins harga 1090 145002 jual tins harga 1235 profit sehari bursa sebesar 133 rekor baru saya pribadi thank to me,kamis 5 sept 2019 100413 beli tins harga 1090 145002 jual tins harga 1235 profit hari bursa besar 133 rekor baru saya pribadi thank to me,"['kamis', '5', 'sept', '2019', '100413', 'beli', 'tins', 'harga', '1090', '145002', 'jual', 'tins', 'harga', '1235', 'profit', 'hari', 'bursa', 'besar', '133', 'rekor', 'baru', 'saya', 'pribadi', 'thank', 'to', 'me']","['Thursday', '5', 'Sep', '2019', '100413', 'Buy', 'Tins', 'Price', '1090', '145002', 'Selling', 'Tins', 'Price', '1235', 'Profit', 'Day', 'Big', '133', 'Record', 'New', 'I' 'to', 'me']",0.7906,2
2019-09-05,$TINS giliran lepas ngeroket hahaha beberapa bulan dikekepin tidak jadi apa-apa,$tins giliran lepas ngeroket hahaha beberapa bulan dikekepin tidak jadi apa-apa,tins giliran lepas ngeroket hahaha beberapa bulan dikekepin tidak jadi apaapa,tins giliran lepas ngeroket hahaha beberapa bulan dikekepin tidak jadi apaapa,tins giliran lepas ngeroket hahaha beberapa bulan dikekepin jadi apaapa,tins gilir lepas ngeroket hahaha beberapa bulan pin jadi apaapa,"['tins', 'gilir', 'lepas', 'ngeroket', 'hahaha', 'beberapa', 'bulan', 'pin', 'jadi', 'apaapa']","['Tins',' Turns', 'Remove', 'Ngekin', 'Hahaha', 'Some', 'Month', 'Pin', 'So', 'What' What ']",0.5574,2
