date,total_tweet,positif_tweet,negatif_tweet,netral_tweet,avg_compound
2019-01-04,1,0,0,1,0.0
2019-02-11,1,0,0,1,0.0
2019-02-12,2,1,0,1,0.10115
2019-02-14,1,1,0,0,0.5267
2019-02-15,1,1,0,0,0.0516
2019-04-04,1,0,0,1,0.0
2019-05-10,1,0,0,1,0.0
2019-05-21,1,1,0,0,0.7739
2019-06-24,1,0,0,1,0.0
2019-08-26,1,0,1,0,-0.128
2019-09-08,1,0,0,1,0.0
2019-12-05,1,1,0,0,0.128
2020-01-24,1,0,1,0,-0.1531
2020-01-28,1,1,0,0,0.8074
2020-01-30,1,1,0,0,0.3612
2020-02-20,1,0,0,1,0.0
2020-03-05,4,2,0,2,0.22775
2020-04-08,1,1,0,0,0.8179
2020-04-23,2,2,0,0,0.4316
2020-05-27,1,1,0,0,0.296
2020-06-01,1,1,0,0,0.7269
2020-06-04,1,0,1,0,-0.598
2020-06-05,4,3,0,1,0.371825
2020-06-08,1,0,1,0,-0.0516
2020-06-09,1,1,0,0,0.4019
2020-06-11,1,1,0,0,0.802
2020-06-15,1,0,1,0,-0.1779
2020-06-16,2,1,0,1,0.03845
2020-06-17,1,1,0,0,0.3265
2020-06-18,2,1,1,0,-0.07474999999999998
2020-06-22,1,0,1,0,-0.5106
2020-07-05,1,0,1,0,-0.1363
2020-07-06,1,1,0,0,0.8658
2020-07-08,2,2,0,0,0.40249999999999997
2020-07-13,1,0,0,1,0.0
2020-07-21,1,1,0,0,0.9284
2020-07-30,2,1,1,0,-0.04745000000000002
2020-08-02,1,0,1,0,-0.4404
2020-08-04,2,1,1,0,0.022650000000000003
2020-08-26,1,1,0,0,0.1761
2020-09-14,1,1,0,0,0.4404
2020-10-02,1,1,0,0,0.3182
2020-10-14,1,1,0,0,0.4019
2020-11-21,1,1,0,0,0.3612
2020-11-24,1,1,0,0,0.3818
2020-12-02,2,1,0,1,0.27115
2020-12-03,1,0,0,1,0.0
2020-12-14,5,4,0,1,0.21339999999999998
2020-12-15,1,0,0,1,0.0
2020-12-16,9,7,0,2,0.49557777777777773
2020-12-17,5,1,3,1,-0.15234
2020-12-18,1,0,0,1,0.0
2020-12-21,11,4,2,5,0.11271818181818181
2020-12-22,1,1,0,0,0.1531
2020-12-23,2,0,1,1,-0.064
2020-12-28,3,3,0,0,0.38676666666666665
2020-12-29,7,2,0,5,0.0329
2020-12-30,3,1,1,1,-0.0077333333333333325
2021-01-02,1,1,0,0,0.8271
2021-01-04,3,1,2,0,0.059766666666666655
2021-01-06,2,0,0,2,0.0
2021-01-07,1,1,0,0,0.4215
2021-01-08,3,0,1,2,-0.12726666666666667
2021-01-11,2,1,1,0,0.061100000000000015
2021-01-14,2,1,0,1,0.31245
2021-01-16,1,1,0,0,0.296
2021-01-19,1,1,0,0,0.0516
2021-01-21,1,1,0,0,0.5106
2021-01-23,1,0,0,1,0.0
2021-01-27,3,2,0,1,0.48196666666666665
2021-02-04,1,1,0,0,0.3612
2021-02-07,1,1,0,0,0.296
2021-02-11,1,1,0,0,0.6908
2021-02-17,1,1,0,0,0.1531
2021-03-09,1,0,1,0,-0.128
2021-03-16,4,2,2,0,0.22505
2021-03-17,1,0,1,0,-0.6369
2021-03-18,2,1,0,1,0.125
2021-03-22,1,1,0,0,0.4019
2021-06-06,1,0,1,0,-0.1027
2021-07-07,1,0,0,1,0.0
2021-07-10,1,1,0,0,0.34
2021-07-23,1,1,0,0,0.5106
2021-07-29,1,1,0,0,0.6561
2021-08-20,1,0,1,0,-0.296
2021-08-30,1,1,0,0,0.6808
2021-09-16,7,5,0,2,0.2238
2021-09-17,4,2,1,1,-0.083775
2021-10-29,1,1,0,0,0.2732
2021-11-10,1,1,0,0,0.8208
2021-11-18,1,0,1,0,-0.6486
2021-11-19,1,1,0,0,0.6124
2021-11-26,1,1,0,0,0.1134
2021-11-27,1,1,0,0,0.5574
2021-11-28,1,1,0,0,0.3182
2021-11-30,2,0,0,2,0.0
2021-12-02,1,1,0,0,0.1779
2021-12-03,1,1,0,0,0.3642
2021-12-04,1,1,0,0,0.6124
2021-12-05,2,0,2,0,-0.363
2021-12-06,1,1,0,0,0.5859
2021-12-07,2,1,1,0,0.061100000000000015
2021-12-08,1,0,1,0,-0.5106
2021-12-10,1,1,0,0,0.7906
2021-12-13,1,0,0,1,0.0
2021-12-16,2,2,0,0,0.40080000000000005
2021-12-20,1,0,0,1,0.0442
2021-12-30,2,2,0,0,0.78615
2022-01-04,2,2,0,0,0.8128
2022-01-05,2,1,0,1,0.33575
2022-01-06,1,1,0,0,0.5719
2022-01-09,1,1,0,0,0.8481
2022-01-10,1,0,0,1,0.0
2022-01-11,3,2,0,1,0.4930333333333334
2022-01-17,1,0,0,1,0.0
2022-01-20,1,1,0,0,0.6249
2022-05-09,1,1,0,0,0.6486
2022-05-11,1,0,0,1,0.0
2022-05-12,2,2,0,0,0.6242000000000001
2022-05-13,1,1,0,0,0.34
2022-05-15,1,0,1,0,-0.34
2022-06-03,2,2,0,0,0.68695
2022-06-08,1,0,1,0,-0.4767
2022-06-09,1,1,0,0,0.3182
2022-06-12,1,0,0,1,0.0
2022-06-28,1,1,0,0,0.5574
2022-06-29,1,1,0,0,0.0516
2022-07-07,2,2,0,0,0.3286
2022-07-13,1,1,0,0,0.4767
