date,total_tweet,positif_tweet,negatif_tweet,netral_tweet,avg_compound
2019-10-10,1,0,1,0,-0.0772
2019-12-04,1,0,0,1,0.0
2020-01-20,1,1,0,0,0.4767
2020-01-26,2,0,2,0,-0.5508
2020-02-27,2,2,0,0,0.34895
2020-02-28,1,1,0,0,0.1531
2020-03-04,1,0,0,1,0.0
2020-03-06,1,1,0,0,0.3818
2020-03-10,1,0,0,1,0.0
2020-03-13,1,1,0,0,0.7717
2020-03-16,1,1,0,0,0.2484
2020-03-24,1,1,0,0,0.4019
2020-03-25,1,1,0,0,0.4215
2020-04-07,3,2,0,1,0.3308333333333333
2020-04-14,1,1,0,0,0.7003
2020-04-16,1,1,0,0,0.8777
2020-04-20,1,1,0,0,0.128
2020-05-14,1,0,0,1,0.0258
2020-05-18,2,1,1,0,-0.32435
2020-05-28,1,1,0,0,0.5267
2020-06-03,1,0,1,0,-0.3612
2020-06-15,1,0,0,1,0.0
2020-06-22,3,3,0,0,0.3763
2020-06-23,1,1,0,0,0.6249
2020-06-24,1,1,0,0,0.2023
2020-06-27,1,1,0,0,0.5423
2020-07-01,2,1,0,1,0.2013
2020-07-08,1,1,0,0,0.8143
2020-07-09,2,1,0,1,0.148
2020-07-13,2,1,1,0,0.22805
2020-07-14,1,0,1,0,-0.128
2020-07-20,1,1,0,0,0.4144
2020-07-21,2,2,0,0,0.34135
2020-07-22,2,1,1,0,-0.12315000000000001
2020-07-23,1,0,0,1,0.0
2020-07-24,4,2,0,2,0.388825
2020-07-25,1,1,0,0,0.0516
2020-07-26,3,1,2,0,0.06146666666666667
2020-07-27,7,6,0,1,0.4410857142857143
2020-07-28,3,2,0,1,0.5455333333333333
2020-07-29,1,1,0,0,0.6808
2020-07-30,1,1,0,0,0.296
2020-07-31,2,2,0,0,0.51695
2020-08-03,1,1,0,0,0.5859
2020-08-04,3,1,1,1,0.07183333333333332
2020-08-06,2,1,0,1,0.0258
2020-08-07,2,2,0,0,0.45235000000000003
2020-08-10,2,0,2,0,-0.15105
2020-08-11,3,2,1,0,0.13513333333333333
2020-08-12,3,1,1,1,-0.24846666666666664
2020-08-14,2,1,1,0,-0.22869999999999996
2020-08-17,1,0,1,0,-0.9022
2020-08-18,4,3,1,0,0.213225
2020-08-19,1,0,0,1,0.0
2020-08-20,1,1,0,0,0.4767
2020-08-30,1,1,0,0,0.5843
2020-08-31,1,1,0,0,0.3818
2020-09-01,2,0,0,2,0.0
2020-09-02,1,1,0,0,0.5574
2020-09-10,1,1,0,0,0.3818
2020-09-11,1,1,0,0,0.7783
2020-09-16,2,2,0,0,0.11865
2020-09-19,1,1,0,0,0.3612
2020-09-28,1,1,0,0,0.5719
2020-09-30,1,1,0,0,0.4939
2020-10-02,2,0,0,2,0.0
2020-10-07,1,1,0,0,0.128
2020-10-08,1,0,0,1,0.0
2020-10-09,3,1,0,2,0.12040000000000001
2020-10-12,4,1,0,3,0.1796
2020-11-08,1,0,0,1,0.0
2020-11-10,1,1,0,0,0.3182
2020-11-11,2,1,0,1,0.2997
2020-11-13,1,0,0,1,0.0
2020-11-15,1,0,0,1,0.0
2020-11-16,2,1,1,0,-0.024599999999999997
2020-11-17,1,0,1,0,-0.128
2020-11-27,2,1,0,1,0.42775
2020-11-29,2,2,0,0,0.48765000000000003
2020-11-30,3,0,2,1,-0.19469999999999998
2020-12-01,1,1,0,0,0.34
2020-12-02,2,1,1,0,0.0
2020-12-03,1,0,0,1,0.0
2020-12-04,1,1,0,0,0.6124
2020-12-16,1,1,0,0,0.6808
2020-12-21,1,0,1,0,-0.2591
2020-12-22,1,1,0,0,0.5574
2020-12-23,2,2,0,0,0.4965
2020-12-26,1,1,0,0,0.547
2020-12-29,3,3,0,0,0.49803333333333333
2020-12-30,1,1,0,0,0.25
2021-01-01,1,1,0,0,0.6369
2021-01-03,2,1,0,1,0.1806
2021-01-04,2,2,0,0,0.2064
2021-01-05,2,2,0,0,0.42955
2021-01-06,1,0,1,0,-0.2263
2021-01-07,1,1,0,0,0.4215
2021-01-11,1,0,1,0,-0.3612
2021-01-15,1,0,1,0,-0.1263
2021-01-16,2,0,1,1,-0.06434999999999999
2021-01-21,2,0,0,2,0.0
2021-01-22,1,0,1,0,-0.25
2021-01-26,3,1,1,1,0.05296666666666667
2021-01-29,2,0,0,2,0.0
2021-01-30,1,0,1,0,-0.296
2021-01-31,2,1,1,0,0.12995
2021-02-08,1,0,0,1,0.0
2021-02-10,1,1,0,0,0.4019
2021-02-17,1,0,0,1,0.0
2021-02-22,2,1,1,0,0.08499999999999999
2021-02-25,1,1,0,0,0.8658
2021-02-26,2,1,1,0,0.031799999999999995
2021-02-28,2,2,0,0,0.6134999999999999
2021-03-02,2,1,0,1,0.26335
2021-03-03,1,0,0,1,0.0
2021-03-04,1,1,0,0,0.0772
2021-03-07,1,1,0,0,0.1531
2021-03-18,1,0,0,1,0.0
2021-03-23,1,0,0,1,0.0
2021-03-31,1,1,0,0,0.1779
2021-04-09,1,1,0,0,0.1531
2021-04-13,1,1,0,0,0.4215
2021-04-16,1,1,0,0,0.3612
2021-04-26,1,0,0,1,0.0
2021-04-29,1,1,0,0,0.6808
2021-05-06,1,0,0,1,0.0
2021-05-10,1,0,0,1,0.0
2021-05-15,1,0,0,1,0.0
2021-05-17,2,1,0,1,0.1806
2021-05-31,1,1,0,0,0.3612
2021-06-01,1,1,0,0,0.7096
2021-06-09,2,1,1,0,0.22340000000000002
2021-06-10,1,0,1,0,-0.34
2021-06-14,1,0,1,0,-0.6124
2021-06-15,2,2,0,0,0.6167
2021-06-17,2,0,0,2,0.0258
2021-06-18,1,1,0,0,0.4019
2021-06-29,1,0,0,1,0.0
2021-07-13,1,0,1,0,-0.7096
2021-07-19,1,1,0,0,0.3182
2021-07-27,1,0,1,0,-0.2023
2021-07-28,1,0,1,0,-0.6573
2021-07-30,1,0,1,0,-0.7269
2021-08-09,1,0,1,0,-0.6312
2021-08-11,1,0,0,1,0.0
2021-08-12,3,1,0,2,0.0593
2021-08-13,1,0,1,0,-0.25
2021-08-23,1,0,0,1,0.0
2021-08-25,1,1,0,0,0.2023
2021-08-30,1,1,0,0,0.4805
2021-09-09,1,0,0,1,0.0
2021-09-16,1,1,0,0,0.1531
2021-09-20,2,1,0,1,0.1366
2021-09-24,1,0,0,1,0.0
2021-10-04,4,2,0,2,0.2202
2021-10-05,1,1,0,0,0.7351
2021-10-11,1,1,0,0,0.4588
2021-10-15,2,1,0,1,0.13775
2021-10-22,1,0,1,0,-0.128
2021-10-27,2,2,0,0,0.58725
2021-11-04,1,1,0,0,0.7579
2021-11-05,1,1,0,0,0.5106
2021-11-09,2,1,0,1,0.24695
2021-11-10,1,1,0,0,0.7003
2021-11-12,1,1,0,0,0.836
2021-11-16,1,1,0,0,0.7184
2021-11-18,1,0,0,1,0.0
2021-11-19,2,1,0,1,0.0258
2021-11-24,1,1,0,0,0.343
2021-12-06,2,1,1,0,-0.12455
2021-12-10,2,2,0,0,0.4316
2021-12-17,1,1,0,0,0.5423
2021-12-18,1,1,0,0,0.4019
2021-12-20,1,0,0,1,0.0
2021-12-22,2,2,0,0,0.34850000000000003
2021-12-27,1,0,0,1,0.0
2022-01-03,1,0,0,1,0.0
2022-01-05,1,0,0,1,0.0
2022-01-06,2,2,0,0,0.5559000000000001
2022-01-11,1,1,0,0,0.6361
2022-01-12,1,0,1,0,-0.2023
2022-01-13,1,1,0,0,0.34
2022-01-21,2,2,0,0,0.43095
2022-02-07,1,1,0,0,0.5106
2022-02-09,1,0,0,1,0.0
2022-02-10,1,1,0,0,0.1531
2022-02-13,1,0,1,0,-0.296
2022-02-15,1,1,0,0,0.4767
2022-02-17,1,1,0,0,0.7184
2022-02-19,1,1,0,0,0.2755
2022-02-22,1,0,0,1,0.0
2022-02-24,2,2,0,0,0.5919
2022-02-25,1,0,0,1,0.0
2022-03-04,5,3,0,2,0.3708
2022-03-07,3,3,0,0,0.3816333333333333
2022-03-08,3,2,0,1,0.13053333333333333
2022-03-10,1,0,0,1,0.0
2022-03-18,2,2,0,0,0.71285
2022-03-26,2,0,0,2,0.0
2022-03-28,1,0,0,1,0.0
2022-03-29,1,1,0,0,0.6369
2022-03-31,1,1,0,0,0.4215
2022-04-04,1,1,0,0,0.9887
2022-04-05,2,1,0,1,0.1909
2022-04-06,1,1,0,0,0.9939
2022-04-07,3,1,0,2,0.17556666666666665
2022-04-08,2,2,0,0,0.3389
2022-04-12,1,1,0,0,0.3818
2022-04-13,1,1,0,0,0.4019
2022-04-19,3,1,1,1,-0.08146666666666666
2022-04-20,2,2,0,0,0.3609
2022-04-27,3,3,0,0,0.5497333333333333
2022-05-04,1,1,0,0,0.25
2022-05-05,1,0,0,1,0.0
2022-05-09,1,1,0,0,0.4019
2022-05-10,1,0,1,0,-0.2263
2022-05-11,3,3,0,0,0.5682666666666666
2022-05-13,2,0,0,2,0.0
2022-05-14,2,1,0,1,0.3062
2022-05-17,1,0,1,0,-0.1779
2022-05-19,2,2,0,0,0.6996
2022-05-24,1,1,0,0,0.5423
2022-05-25,2,2,0,0,0.5654
2022-05-31,2,1,0,1,0.064
2022-06-07,3,3,0,0,0.5877
2022-06-14,1,1,0,0,0.2023
2022-06-15,2,1,1,0,0.012299999999999978
2022-06-18,2,1,1,0,-0.21199999999999997
2022-06-20,1,1,0,0,0.3818
2022-07-04,1,0,1,0,-0.81
2022-07-12,1,1,0,0,0.2263
2022-07-22,1,1,0,0,0.296
2022-07-23,1,1,0,0,0.7269
2022-07-25,1,0,1,0,-0.5128
2022-07-28,1,1,0,0,0.4404
2022-08-08,5,3,1,1,0.03774000000000001
2022-08-09,1,1,0,0,0.1263
2022-08-11,3,2,0,1,0.31606666666666666
2022-08-16,3,2,1,0,0.3785
2022-08-23,1,0,1,0,-0.3818
2022-09-12,1,1,0,0,0.4784
2022-09-13,4,3,1,0,0.51305
2022-09-14,2,2,0,0,0.7287
2022-09-15,1,0,0,1,0.0
2022-09-16,1,0,0,1,0.0
2022-09-22,3,3,0,0,0.3437333333333334
2022-09-23,4,3,0,1,0.291225
2022-09-28,1,1,0,0,0.3818
2022-10-15,1,1,0,0,0.8805
2022-10-21,1,0,1,0,-0.4404
2022-11-11,2,2,0,0,0.5667
2022-11-24,2,2,0,0,0.44985
2022-11-30,1,0,0,1,0.0
2022-12-02,1,1,0,0,0.2732
2022-12-06,2,2,0,0,0.5207499999999999
2022-12-20,2,2,0,0,0.25229999999999997
2022-12-21,1,1,0,0,0.5574
2022-12-28,2,1,1,0,0.24605000000000002
2023-07-23,1,1,0,0,0.4215
2023-07-31,2,0,0,2,0.0129
2023-08-14,1,1,0,0,0.8885
2023-08-23,1,1,0,0,0.5132
2023-08-30,1,1,0,0,0.4019
2023-09-11,1,0,0,1,0.0
2023-09-12,1,1,0,0,0.8934
2023-09-20,2,2,0,0,0.73045
2023-09-24,2,1,1,0,0.043899999999999995
2023-09-27,1,1,0,0,0.8519
2023-09-29,2,2,0,0,0.77995
2023-09-30,1,0,1,0,-0.1027
2023-10-15,1,1,0,0,0.296
2023-10-17,1,1,0,0,0.5267
2023-10-25,1,0,1,0,-0.4588
2023-10-26,2,1,0,1,0.17
2023-10-30,1,0,0,1,0.0
2023-11-01,1,1,0,0,0.4019
2023-11-03,1,1,0,0,0.7783
2023-11-06,1,0,0,1,0.0
2023-11-22,1,1,0,0,0.6486
2023-11-23,1,0,1,0,-0.4767
2023-11-29,1,1,0,0,0.8402
2023-11-30,1,0,1,0,-0.1531
2023-12-04,2,1,1,0,0.1651
2023-12-05,1,0,0,1,0.0
2023-12-08,1,1,0,0,0.34
2023-12-18,1,0,0,1,0.0
2023-12-21,2,2,0,0,0.42285
2024-01-12,1,1,0,0,0.2732
2024-01-16,1,1,0,0,0.2732
2024-01-17,2,1,0,1,0.401
2024-01-18,2,1,1,0,0.31495
2024-01-24,1,0,0,1,0.0
2024-01-26,1,0,0,1,0.0
2024-02-01,1,0,0,1,0.0
2024-02-05,1,1,0,0,0.5267
2024-02-13,7,6,1,0,0.25948571428571426
2024-02-14,1,0,0,1,0.0
2024-02-15,2,2,0,0,0.73055
2024-02-19,1,1,0,0,0.3182
2024-04-17,1,1,0,0,0.4767
2024-04-22,1,0,1,0,-0.5423
2024-05-02,2,2,0,0,0.5345
2024-05-08,1,0,1,0,-0.7096
2024-05-15,1,1,0,0,0.3612
2024-05-16,1,0,1,0,-0.3612
2024-05-17,1,1,0,0,0.3612
2024-05-20,5,4,1,0,0.27162
2024-05-21,2,0,2,0,-0.27085
2024-05-26,1,1,0,0,0.4767
2024-06-04,1,1,0,0,0.9001
2024-06-06,2,1,1,0,-0.08295
2024-07-24,1,1,0,0,0.4215
2024-07-26,1,0,0,1,0.0
2024-07-31,1,1,0,0,0.4767
2024-09-05,2,1,0,1,0.06555
2024-09-06,1,0,1,0,-0.4723
2024-09-10,1,1,0,0,0.4215
2024-09-11,1,1,0,0,0.5106
2024-09-17,1,1,0,0,0.5267
2024-09-21,1,1,0,0,0.4404
2024-09-23,2,1,1,0,-0.11109999999999998
2024-09-24,1,0,0,1,0.0
2024-09-25,3,2,1,0,0.15956666666666666
2024-09-27,1,1,0,0,0.2023
2024-11-10,1,0,0,1,-0.0258
2024-11-27,1,1,0,0,0.4939
2024-11-28,1,0,0,1,0.0
2024-12-04,1,1,0,0,0.3612
2024-12-07,1,1,0,0,0.4939
2024-12-19,1,1,0,0,0.3182
2024-12-20,1,1,0,0,0.25
2024-12-28,1,1,0,0,0.1531
2024-12-30,1,0,1,0,-0.3818
2025-01-01,1,0,1,0,-0.3818
2025-01-08,2,0,1,1,-0.2678
2025-01-11,3,1,1,1,-0.07940000000000001
2025-02-08,1,1,0,0,0.5267
2025-02-12,1,1,0,0,0.0516
2025-02-15,1,1,0,0,0.0516
2025-02-17,1,1,0,0,0.4767
2025-02-18,2,2,0,0,0.66315
2025-02-25,1,0,1,0,-0.1779
2025-03-07,1,0,1,0,-0.1531
2025-03-10,1,0,0,1,0.0
2025-03-13,1,1,0,0,0.6808
2025-03-14,1,1,0,0,0.4648
2025-03-17,1,1,0,0,0.908
2025-03-21,1,0,0,1,0.0258
2025-03-22,1,0,0,1,0.0
2025-03-24,1,0,1,0,-0.1531
2025-03-25,1,0,1,0,-0.6597
2025-03-26,1,1,0,0,0.6808
2025-05-03,1,1,0,0,0.5574
2025-05-04,1,0,0,1,0.0
2025-05-06,1,0,1,0,-0.25
2025-05-07,2,2,0,0,0.55925
2025-05-08,1,1,0,0,0.128
2025-05-13,1,1,0,0,0.6808
2025-05-16,1,1,0,0,0.7845
2025-05-18,1,0,1,0,-0.9186
2025-05-19,1,0,0,1,0.0
2025-05-20,1,1,0,0,0.4342
2025-05-24,1,1,0,0,0.7778
2025-05-27,2,1,0,1,0.4063
2025-05-28,6,3,0,3,0.35894999999999994
2025-05-29,1,1,0,0,0.3612
2025-06-02,1,0,0,1,0.0
2025-06-03,2,2,0,0,0.47155
2025-06-04,4,0,1,3,-0.119175
2025-06-05,4,2,1,1,0.296975
2025-06-07,1,1,0,0,0.7703
2025-06-10,1,0,0,1,0.0
2025-06-11,1,1,0,0,0.2023
2025-06-13,2,0,0,2,0.0
2025-06-16,4,3,0,1,0.5144249999999999
2025-06-19,1,1,0,0,0.5106
2025-06-20,1,1,0,0,0.296
2025-06-22,1,1,0,0,0.1027
2025-06-23,1,0,1,0,-0.6486
2025-06-24,1,0,1,0,-0.5106
2025-06-25,1,1,0,0,0.3612
2025-06-26,1,1,0,0,0.296
