date,total_tweet,positif_tweet,negatif_tweet,netral_tweet,avg_compound
2019-01-24,1,0,0,1,0.0
2019-02-02,1,1,0,0,0.3612
2019-07-31,1,1,0,0,0.4939
2019-08-07,1,1,0,0,0.5
2019-08-14,1,0,0,1,0.0
2019-08-23,1,1,0,0,0.25
2019-08-28,1,0,0,1,0.0
2019-09-02,1,1,0,0,0.4588
2019-09-05,2,2,0,0,0.6739999999999999
2019-09-12,4,2,0,2,0.213775
2019-11-04,1,0,0,1,0.0
2020-11-20,1,1,0,0,0.4201
2020-11-23,2,2,0,0,0.44984999999999997
2020-11-30,1,1,0,0,0.4019
2020-12-02,1,0,1,0,-0.34
2020-12-08,1,1,0,0,0.4703
2020-12-16,6,3,2,1,0.16608333333333333
2020-12-23,1,0,0,1,0.0
2020-12-28,4,2,1,1,0.262275
2021-01-04,1,0,0,1,0.0
2021-01-05,3,2,1,0,0.21876666666666666
2021-01-06,1,1,0,0,0.8807
2021-01-07,5,3,0,2,0.21678000000000003
2021-01-08,1,1,0,0,0.2023
2021-01-11,1,1,0,0,0.1027
2021-01-13,3,2,0,1,0.1661
2021-01-14,10,5,0,5,0.39073
2021-01-15,2,1,0,1,0.2997
2021-01-17,1,1,0,0,0.3612
2021-01-18,2,2,0,0,0.5563
2021-01-19,3,0,1,2,-0.06743333333333333
2021-01-20,4,4,0,0,0.410575
2021-01-21,3,2,0,1,0.37799999999999995
2021-01-22,3,0,3,0,-0.313
2021-01-25,3,2,1,0,0.065
2021-01-26,3,1,1,1,0.09403333333333332
2021-01-27,3,1,0,2,0.13396666666666665
2021-01-28,2,1,1,0,-0.010550000000000004
2021-01-29,3,2,0,1,0.21820000000000003
2021-02-01,3,0,1,2,-0.047999999999999994
2021-02-05,5,4,0,1,0.41796
2021-02-07,2,2,0,0,0.5420499999999999
2021-02-08,6,3,2,1,-0.06608333333333334
2021-02-09,2,1,0,1,0.10115
2021-02-10,1,1,0,0,0.5423
2021-02-15,1,0,0,1,0.0
